0.01f
Simurate: 0番目のボール：単勝 0.6,複勝 0.98
Simurate: 1番目のボール：単勝 0.3,複勝 0.78
Simurate: 2番目のボール：単勝 0.06,複勝 0.42
Simurate: 3番目のボール：単勝 0,複勝 0.42
Simurate: 4番目のボール：単勝 0.02,複勝 0.28
Simurate: 5番目のボール：単勝 0.02,複勝 0.12


実際：0番目のボール：単勝 0.6,複勝 0.86
実際：1番目のボール：単勝 0.16,複勝 0.68
実際：2番目のボール：単勝 0.08,複勝 0.46
実際：3番目のボール：単勝 0.08,複勝 0.4
実際：4番目のボール：単勝 0.06,複勝 0.4
実際：5番目のボール：単勝 0.02,複勝 0.2



固定化
0.1f
Simurate: 0番目のボール：単勝 0.42,複勝 0.82
Simurate: 1番目のボール：単勝 0.18,複勝 0.68
Simurate: 2番目のボール：単勝 0.04,複勝 0.38
Simurate: 3番目のボール：単勝 0.08,複勝 0.34
Simurate: 4番目のボール：単勝 0.1,複勝 0.38
Simurate: 5番目のボール：単勝 0.18,複勝 0.4

Simurate: 0番目のボール：単勝 0.52,複勝 0.88

Simurate: 1番目のボール：単勝 0.16,複勝 0.56

Simurate: 2番目のボール：単勝 0.06,複勝 0.34

Simurate: 3番目のボール：単勝 0.04,複勝 0.48

Simurate: 4番目のボール：単勝 0.12,複勝 0.4

Simurate: 5番目のボール：単勝 0.1,複勝 0.34



